date,open,high,low,adjClose,value,volume,count,yesterday,close
2013-07-09,422.0,422.0,422.0,422.0,5075000000000,1450000000,8033,121.0,422.0
2013-07-10,439.0,439.0,439.0,439.0,33125015560,9100279,329,422.0,439.0
2013-07-13,457.0,457.0,437.0,449.0,1065175161707,286615698,21661,439.0,441.0
2013-07-14,444.0,445.0,431.0,436.0,288222076955,79697159,8630,449.0,439.0
2013-07-15,442.0,454.0,441.0,447.0,219182809445,59148749,6516,436.0,441.0
2013-07-16,448.0,452.0,437.0,442.0,170167303685,46474422,4607,447.0,438.0
2013-07-17,441.0,448.0,437.0,442.0,170310083872,46471305,4674,442.0,440.0
2013-07-20,444.0,460.0,443.0,457.0,358288096282,94687661,8775,442.0,460.0
2013-07-21,468.0,469.0,450.0,457.0,144152152209,38119378,4525,457.0,452.0
2013-07-22,454.0,458.0,447.0,451.0,143480960926,38434453,4087,457.0,447.0
2013-07-23,451.0,464.0,450.0,457.0,168442300222,44516973,4869,451.0,456.0
2013-07-24,460.0,460.0,453.0,457.0,142274196981,37605892,4173,457.0,455.0
2013-07-27,459.0,460.0,450.0,454.0,101277723905,26959353,3155,457.0,453.0
2013-07-28,450.0,456.0,447.0,452.0,67226098575,17945121,2209,454.0,451.0
2013-07-29,451.0,456.0,446.0,450.0,168898093442,45326738,4568,452.0,449.0
2013-07-31,450.0,451.0,445.0,447.0,145432134020,39246718,3940,450.0,445.0
2013-08-03,447.0,448.0,434.0,439.0,146626445956,40289626,4328,447.0,436.0
2013-08-04,436.0,439.0,430.0,434.0,106452789507,29619726,3784,439.0,433.0
2013-08-05,438.0,451.0,435.0,448.0,118935750846,32074854,3350,434.0,440.0
2013-08-06,444.0,446.0,437.0,440.0,83097069619,22809777,2367,448.0,439.0
2013-08-07,441.0,441.0,433.0,436.0,140737907811,38973058,4297,440.0,433.0
2013-08-12,448.0,448.0,441.0,446.0,113078034921,30628280,3178,436.0,443.0
2013-08-13,446.0,453.0,437.0,443.0,105425834529,28754779,3127,446.0,439.0
2013-08-14,439.0,443.0,438.0,440.0,92449936383,25387254,2488,443.0,441.0
2013-08-17,457.0,457.0,457.0,457.0,150877170192,39840816,1393,440.0,457.0
2013-08-18,462.0,468.0,453.0,459.0,221145047467,58123187,5105,457.0,457.0
2013-08-19,459.0,478.0,453.0,474.0,270175539862,68847904,6522,459.0,471.0
2013-08-20,477.0,482.0,465.0,472.0,76878006324,19651029,2538,474.0,469.0
2013-08-21,467.0,472.0,464.0,467.0,48138227296,12431849,1766,472.0,465.0
2013-08-24,471.0,476.0,465.0,471.0,52615151091,13476316,1925,467.0,471.0
2013-08-25,474.0,474.0,464.0,469.0,57474456841,14799886,1898,471.0,468.0
2013-08-26,468.0,468.0,461.0,462.0,69792224866,18219058,1939,469.0,462.0
2013-08-27,466.0,471.0,445.0,458.0,113626242507,29944277,3751,462.0,447.0
2013-08-28,442.0,447.0,440.0,440.0,134318718678,36825211,3137,458.0,440.0
2013-08-31,445.0,449.0,441.0,445.0,35173438193,9535807,1615,440.0,447.0
2013-09-01,449.0,461.0,447.0,457.0,50847607497,13421605,1782,445.0,461.0
2013-09-03,461.0,472.0,451.0,459.0,53421204883,14035291,1629,457.0,456.0
2013-09-04,446.0,446.0,441.0,451.0,15576576575,4256759,577,459.0,441.0
2013-09-07,435.0,444.0,435.0,439.0,65224534600,17953062,2004,451.0,443.0
2013-09-08,443.0,456.0,443.0,452.0,73591764059,19638180,2167,439.0,456.0
2013-09-09,465.0,466.0,456.0,462.0,55694145802,14559009,1881,452.0,458.0
2013-09-10,468.0,480.0,468.0,478.0,223348576373,56399420,6441,462.0,480.0
2013-09-11,485.0,486.0,471.0,478.0,315739950151,79766809,7448,478.0,482.0
2013-09-21,525.0,533.0,511.0,520.0,194599640443,51682032,5382,478.0,515.0
2013-09-22,511.0,511.0,499.0,501.0,135362915650,37366609,4131,520.0,501.0
2013-09-23,504.0,517.0,500.0,508.0,86088509332,23412009,3000,501.0,507.0
2013-09-24,510.0,510.0,499.0,502.0,65862306139,18128873,2656,508.0,500.0
2013-09-25,503.0,513.0,497.0,505.0,72283781099,19767123,2267,502.0,507.0
2013-09-28,518.0,519.0,511.0,515.0,103748521250,27806754,3293,505.0,517.0
2013-09-29,521.0,533.0,513.0,521.0,124982797959,33114813,3331,515.0,522.0
2013-09-30,524.0,531.0,513.0,521.0,119883240212,31800974,2882,521.0,523.0
2013-10-01,520.0,524.0,513.0,520.0,83881106562,22297469,2118,521.0,521.0
2013-10-02,519.0,519.0,511.0,513.0,71341758842,19208185,2453,520.0,514.0
2013-10-05,515.0,518.0,510.0,513.0,67391614546,18162075,2340,513.0,511.0
2013-10-06,513.0,518.0,508.0,510.0,72274573431,19568219,2351,513.0,511.0
2013-10-07,513.0,521.0,507.0,514.0,54020332489,14526236,1970,510.0,518.0
2013-10-08,523.0,524.0,514.0,517.0,46524048400,12421736,1890,514.0,518.0
2013-10-09,519.0,538.0,518.0,532.0,120821815665,31392423,2762,517.0,538.0
2013-10-12,553.0,553.0,553.0,553.0,50818280442,12698221,430,532.0,553.0
2013-10-13,575.0,575.0,565.0,574.0,1060703075929,255257093,15892,553.0,570.0
2013-10-14,570.0,597.0,564.0,592.0,445113714260,103841125,6205,574.0,597.0
2013-10-15,608.0,616.0,600.0,615.0,312736889256,70251224,3424,592.0,616.0
2013-10-19,640.0,640.0,638.0,640.0,648240627528,140008924,5287,615.0,640.0
2013-10-20,622.0,665.0,614.0,648.0,748322309032,159569080,13493,640.0,665.0
2013-10-21,671.0,674.0,663.0,674.0,600854707792,123254519,6865,648.0,674.0
2013-10-22,681.0,688.0,650.0,671.0,372212561893,76687947,8574,674.0,664.0
2013-10-23,655.0,677.0,645.0,663.0,244403109234,50938412,6461,671.0,666.0
2013-10-26,675.0,684.0,655.0,674.0,228978447959,46970727,6149,663.0,659.0
2013-10-27,663.0,663.0,647.0,647.0,204130917236,43581378,3833,674.0,648.0
2013-10-28,643.0,659.0,622.0,652.0,260868878142,55240500,3584,647.0,659.0
2013-10-29,663.0,669.0,656.0,664.0,120478662185,25060924,3394,652.0,663.0
2013-10-30,670.0,680.0,663.0,669.0,128079359129,26445142,3300,664.0,665.0
2013-11-02,670.0,670.0,642.0,650.0,106154327086,22565867,3682,669.0,650.0
2013-11-03,655.0,655.0,636.0,646.0,121022491420,25896089,3221,650.0,637.0
