date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-08-14,63.0,63.0,63.0,63.0,37100000000,7000000,17653,12.0,63.0
2016-08-15,66.0,66.0,66.0,66.0,37897650,6810,34,63.0,66.0
2016-08-16,69.0,69.0,69.0,69.0,77156815,13205,66,66.0,69.0
2016-08-17,72.0,72.0,72.0,72.0,113270505,18463,101,69.0,72.0
2016-08-20,76.0,76.0,76.0,76.0,112273071,17431,95,72.0,76.0
2016-08-21,80.0,80.0,80.0,80.0,201956706,29862,142,76.0,80.0
2016-08-22,84.0,84.0,84.0,84.0,155696526,21926,120,80.0,84.0
2016-08-23,88.0,88.0,88.0,88.0,584214880,78355,147,84.0,88.0
2016-08-24,92.0,92.0,92.0,92.0,463769860,59245,201,88.0,92.0
2016-08-27,97.0,97.0,97.0,97.0,4677457557,569103,334,92.0,97.0
2016-08-28,102.0,102.0,102.0,102.0,1411169402,163538,479,97.0,102.0
2016-08-29,107.0,107.0,107.0,107.0,5684253060,627401,565,102.0,107.0
2016-08-30,112.0,112.0,112.0,112.0,4360026699,458323,1353,107.0,112.0
2016-08-31,118.0,118.0,115.0,118.0,76067586177,7635660,15201,112.0,116.0
2016-09-03,112.0,113.0,112.0,112.0,4526144398,478210,638,118.0,112.0
2016-09-04,106.0,106.0,106.0,106.0,2315709760,257530,125,112.0,106.0
2016-09-05,101.0,101.0,101.0,101.0,111486150,13050,23,106.0,101.0
2016-09-06,100.0,106.0,100.0,103.0,26849023317,3071620,6270,101.0,106.0
2016-09-07,106.0,108.0,104.0,106.0,8277968674,921974,1329,103.0,105.0
2016-09-10,103.0,103.0,101.0,101.0,11676009681,1364767,1060,106.0,101.0
2016-09-11,102.0,103.0,100.0,101.0,3166094153,369441,433,101.0,100.0
2016-09-13,98.0,102.0,97.0,100.0,5769883103,682086,556,101.0,99.0
2016-09-14,99.0,99.0,95.0,95.0,5599868498,693539,609,100.0,95.0
2016-09-17,93.0,99.0,92.0,96.0,3523895492,435247,474,95.0,97.0
2016-09-18,99.0,100.0,98.0,100.0,11033935203,1299527,699,96.0,100.0
2016-09-19,103.0,105.0,100.0,102.0,2209435895,256020,402,100.0,101.0
2016-09-21,103.0,103.0,100.0,101.0,2132742490,249490,403,102.0,101.0
2016-09-24,102.0,103.0,101.0,102.0,2305812248,268410,273,101.0,101.0
2016-09-25,101.0,102.0,98.0,99.0,2971848052,352943,297,102.0,98.0
2016-09-26,98.0,100.0,98.0,99.0,1307772256,156248,180,99.0,99.0
2016-09-27,99.0,100.0,95.0,96.0,3214953875,393900,310,99.0,97.0
2016-09-28,97.0,98.0,95.0,96.0,4701689301,580746,436,96.0,95.0
2016-10-01,95.0,98.0,95.0,96.0,4607469701,567199,334,96.0,96.0
2016-10-02,96.0,101.0,96.0,100.0,5019506860,595178,595,96.0,101.0
2016-10-03,101.0,104.0,100.0,102.0,5328522082,614854,575,100.0,102.0
2016-10-04,102.0,104.0,97.0,100.0,2766445199,327808,286,102.0,99.0
2016-10-05,99.0,100.0,96.0,97.0,2089322969,253980,290,100.0,99.0
2016-10-08,99.0,100.0,96.0,99.0,763534144,91485,151,97.0,98.0
2016-10-09,97.0,99.0,96.0,97.0,1270492211,154807,165,99.0,97.0
2016-10-10,96.0,100.0,96.0,99.0,1631343318,194689,259,97.0,100.0
2016-10-15,99.0,104.0,99.0,103.0,7300535683,840139,617,99.0,103.0
2016-10-16,102.0,104.0,99.0,101.0,1745806758,203623,199,103.0,99.0
2016-10-17,98.0,102.0,98.0,99.0,1266632425,151206,169,101.0,98.0
2016-10-18,97.0,100.0,97.0,99.0,2781234191,333466,257,99.0,98.0
2016-10-19,100.0,103.0,98.0,102.0,8673431006,1001973,674,99.0,103.0
2016-10-22,104.0,107.0,104.0,107.0,8632677626,952748,470,102.0,107.0
2016-10-23,110.0,111.0,102.0,105.0,5676164178,640560,416,107.0,103.0
2016-10-24,103.0,108.0,103.0,107.0,4336776955,480774,351,105.0,106.0
2016-10-25,108.0,108.0,103.0,105.0,2670096593,299770,283,107.0,104.0
