date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-01-20,477.0,477.0,408.0,411.0,1735114866900,287214500,12177,68.0,408.0
2014-01-21,427.0,427.0,427.0,427.0,9216020664,1467052,146,411.0,427.0
2014-01-22,444.0,444.0,435.0,444.0,806036426889,123413034,20049,427.0,444.0
2014-01-25,447.0,455.0,443.0,448.0,283128954094,42923651,12688,444.0,444.0
2014-01-26,445.0,448.0,431.0,436.0,183599379825,28650867,7230,448.0,432.0
2014-01-27,427.0,442.0,422.0,430.0,107935328038,17072351,4517,436.0,440.0
2014-01-28,446.0,447.0,440.0,446.0,116919931004,17813799,3263,430.0,447.0
2014-01-29,454.0,464.0,449.0,459.0,133650151530,19793516,4046,446.0,464.0
2014-02-01,470.0,477.0,462.0,474.0,85070619301,12199213,2485,459.0,477.0
2014-02-02,478.0,478.0,455.0,465.0,103223781334,15095815,3433,474.0,457.0
2014-02-03,455.0,462.0,449.0,454.0,53575410419,8022409,1756,465.0,456.0
2014-02-04,458.0,464.0,452.0,459.0,44061369198,6520118,1719,454.0,462.0
2014-02-05,452.0,453.0,441.0,443.0,43377911410,6654173,1763,459.0,446.0
2014-02-08,429.0,436.0,425.0,427.0,63392290537,10081684,2257,443.0,430.0
2014-02-09,435.0,444.0,429.0,444.0,239392559308,36655129,1731,427.0,444.0
2014-02-10,449.0,451.0,431.0,442.0,237217252983,36449519,1584,444.0,436.0
2014-02-12,430.0,435.0,425.0,427.0,39194197334,6237070,1545,442.0,432.0
2014-02-15,432.0,444.0,430.0,441.0,24422023579,3765679,1243,427.0,441.0
2014-02-16,449.0,458.0,443.0,457.0,47500199335,7061726,1583,441.0,457.0
2014-02-17,470.0,475.0,443.0,471.0,81765762792,11800649,3286,457.0,471.0
2014-02-18,458.0,466.0,452.0,456.0,50454991807,7520930,1966,471.0,456.0
2014-02-19,462.0,474.0,457.0,470.0,49270701393,7125436,2295,456.0,470.0
2014-02-22,483.0,489.0,483.0,488.0,61587223956,8574827,1191,470.0,489.0
2014-02-23,508.0,508.0,490.0,504.0,114811038620,15481683,4021,488.0,503.0
2014-02-24,496.0,496.0,486.0,491.0,43365512014,6001701,2158,504.0,489.0
2014-02-25,481.0,484.0,472.0,475.0,54397929105,7789585,2414,491.0,475.0
2014-02-26,463.0,483.0,459.0,474.0,31620858642,4531407,2136,475.0,474.0
2014-03-01,483.0,493.0,479.0,488.0,32337047432,4504476,1450,474.0,488.0
2014-03-02,488.0,491.0,472.0,479.0,19170585131,2723239,1111,488.0,479.0
2014-03-03,473.0,473.0,459.0,461.0,26563455286,3916482,1267,479.0,459.0
2014-03-04,454.0,472.0,449.0,463.0,22680455434,3330663,1080,461.0,463.0
2014-03-05,476.0,481.0,470.0,480.0,35719199287,5058916,1316,463.0,480.0
2014-03-08,486.0,486.0,466.0,473.0,19087820673,2741155,1084,480.0,472.0
2014-03-09,462.0,469.0,455.0,462.0,18328878920,2695168,940,473.0,462.0
2014-03-10,462.0,472.0,460.0,465.0,18863531940,2757438,884,462.0,464.0
2014-03-11,459.0,464.0,450.0,454.0,15730744534,2353718,770,465.0,454.0
2014-03-12,452.0,472.0,445.0,463.0,24665576864,3622268,1347,454.0,464.0
2014-03-15,469.0,481.0,469.0,479.0,40007521606,5678602,1645,463.0,480.0
2014-03-16,481.0,485.0,472.0,481.0,38577036877,5451005,1505,479.0,483.0
2014-03-17,489.0,496.0,484.0,489.0,32782034844,4553245,1340,481.0,491.0
2014-03-18,489.0,493.0,480.0,487.0,39469935743,5513785,1565,489.0,483.0
2014-03-19,487.0,489.0,479.0,481.0,21737640908,3069527,1820,487.0,481.0
2014-03-25,488.0,488.0,467.0,475.0,9270123603,1328426,594,481.0,472.0
2014-03-26,475.0,475.0,462.0,468.0,7929241564,1157016,544,475.0,469.0
2014-03-29,462.0,465.0,458.0,463.0,8869836499,1304938,626,468.0,464.0
2014-03-30,466.0,476.0,466.0,469.0,7458140816,1074534,558,463.0,474.0
2014-03-31,476.0,484.0,469.0,476.0,11730196620,1674091,725,469.0,477.0
2014-04-05,477.0,477.0,469.0,475.0,16249132271,2326510,698,476.0,472.0
2014-04-06,466.0,466.0,460.0,461.0,15348479034,2261641,966,475.0,460.0
2014-04-07,462.0,480.0,457.0,474.0,47437993452,6798191,1765,461.0,473.0
2014-04-08,476.0,477.0,464.0,471.0,10202533216,1471648,659,474.0,464.0
2014-04-09,464.0,464.0,459.0,461.0,14109733498,2080475,760,471.0,464.0
2014-04-12,468.0,468.0,443.0,448.0,30067709409,4557438,1438,461.0,445.0
2014-04-13,443.0,448.0,431.0,435.0,35416029218,5532000,1617,448.0,443.0
2014-04-14,434.0,441.0,432.0,435.0,17547143329,2741672,1101,435.0,435.0
2014-04-15,435.0,451.0,435.0,446.0,13522608302,2060218,742,435.0,449.0
2014-04-16,461.0,461.0,446.0,451.0,8909332102,1340080,603,446.0,446.0
2014-04-19,447.0,449.0,435.0,443.0,6305007308,977826,352,451.0,439.0
2014-04-20,449.0,455.0,441.0,448.0,10135320393,1536691,580,443.0,443.0
2014-04-21,452.0,457.0,449.0,453.0,11552659166,1731722,658,448.0,455.0
2014-04-22,462.0,462.0,439.0,446.0,12283852507,1873969,705,453.0,441.0
2014-04-23,445.0,454.0,437.0,445.0,11714328979,1788754,530,446.0,447.0
2014-04-26,443.0,459.0,443.0,454.0,36026618000,5395165,1434,445.0,454.0
2014-04-27,459.0,459.0,442.0,448.0,21579975967,3275795,986,454.0,443.0
2014-04-28,445.0,445.0,433.0,436.0,50717720876,7903071,1422,448.0,433.0
2014-04-29,436.0,442.0,432.0,433.0,23342151473,3660186,930,436.0,434.0
2014-04-30,435.0,436.0,431.0,433.0,14383366041,2257839,790,433.0,434.0
2014-05-03,434.0,434.0,428.0,431.0,9469464600,1493951,638,433.0,430.0
2014-05-04,432.0,435.0,428.0,429.0,12435593143,1971979,692,431.0,432.0
2014-05-05,429.0,434.0,429.0,430.0,10390805826,1644180,614,429.0,430.0
2014-05-06,433.0,433.0,428.0,429.0,13230509547,2098012,570,430.0,429.0
2014-05-07,428.0,429.0,425.0,427.0,15965138364,2539538,684,429.0,428.0
2014-05-10,428.0,433.0,426.0,431.0,11255087156,1776924,584,427.0,432.0
2014-05-11,432.0,432.0,426.0,429.0,12348567923,1957833,526,431.0,430.0
2014-05-12,430.0,442.0,430.0,436.0,19881883865,3101522,801,429.0,442.0
2014-05-14,437.0,440.0,430.0,435.0,6846679633,1069925,453,436.0,435.0
2014-05-17,427.0,428.0,426.0,427.0,11005340814,1753222,472,435.0,428.0
2014-05-18,426.0,430.0,426.0,428.0,7690856681,1221842,390,427.0,428.0
2014-05-19,432.0,432.0,426.0,430.0,198112338415,31311800,481,428.0,428.0
2014-05-20,428.0,442.0,428.0,437.0,12781444203,1989728,608,430.0,433.0
2014-05-21,436.0,445.0,432.0,439.0,91329122246,14126155,901,437.0,438.0
2014-05-24,442.0,444.0,430.0,436.0,7366098589,1149420,405,439.0,431.0
2014-05-25,430.0,431.0,426.0,428.0,8684589937,1380409,557,436.0,427.0
2014-05-26,427.0,427.0,425.0,426.0,8601658382,1373488,832,428.0,425.0
2014-05-28,425.0,426.0,424.0,425.0,16143116310,2580146,1017,426.0,426.0
2014-05-31,426.0,431.0,425.0,426.0,15064299315,2401635,513,425.0,426.0
2014-06-01,425.0,425.0,415.0,417.0,14955615512,2435747,559,426.0,417.0
2014-06-02,421.0,423.0,415.0,418.0,4635641360,752620,345,417.0,417.0
2014-06-03,417.0,421.0,417.0,419.0,4698904931,761940,270,418.0,420.0
2014-06-07,421.0,428.0,417.0,424.0,19332710660,3099932,711,419.0,423.0
2014-06-08,423.0,428.0,418.0,424.0,5733384583,919347,442,424.0,424.0
2014-06-09,428.0,428.0,419.0,423.0,4812587119,775044,313,424.0,420.0
2014-06-10,421.0,421.0,416.0,421.0,3155410922,513533,206,423.0,417.0
2014-06-11,415.0,417.0,415.0,416.0,7719997221,1264013,265,421.0,415.0
2014-06-14,416.0,416.0,401.0,408.0,17766132449,2961336,657,416.0,408.0
2014-06-15,402.0,409.0,402.0,407.0,14669571699,2448186,418,408.0,408.0
2014-06-16,410.0,415.0,403.0,408.0,2190957800,364068,176,407.0,408.0
2014-06-17,408.0,410.0,407.0,408.0,6069729049,1011604,320,408.0,408.0
2014-06-18,408.0,416.0,408.0,408.0,3902512010,648751,267,408.0,413.0
2014-06-21,413.0,414.0,405.0,409.0,6019299615,1000079,176,408.0,409.0
2014-06-22,405.0,409.0,405.0,408.0,7713780129,1285859,405,409.0,408.0
2014-06-23,408.0,409.0,406.0,408.0,4209322520,701467,324,408.0,408.0
2014-06-24,408.0,409.0,406.0,408.0,5538842261,923186,311,408.0,409.0
2014-06-25,408.0,408.0,406.0,408.0,6913058338,1152320,343,408.0,408.0
2014-06-28,406.0,406.0,403.0,405.0,10372759838,1739675,461,408.0,403.0
