date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-04-23,45.0,45.0,45.0,45.0,1700000,500,1,45.0,45.0
2001-04-25,46.0,46.0,46.0,46.0,10260000,3000,2,45.0,46.0
2001-04-30,46.0,46.0,46.0,46.0,5607250,1625,2,46.0,46.0
2001-05-01,46.0,46.0,46.0,46.0,6065100,1758,3,46.0,46.0
2001-05-02,46.0,46.0,46.0,46.0,12561040,3642,6,46.0,46.0
2001-05-05,46.0,46.0,46.0,46.0,10585360,3070,3,46.0,46.0
2001-05-07,46.0,46.0,46.0,46.0,613744,178,1,46.0,46.0
2001-05-09,46.0,51.0,46.0,47.0,13333431454,3509548,9,46.0,47.0
2001-05-19,47.0,47.0,47.0,47.0,1988000,560,1,47.0,47.0
2001-05-21,47.0,47.0,47.0,47.0,11699700,3305,1,47.0,47.0
2001-05-23,48.0,48.0,48.0,48.0,14612400,4059,4,47.0,48.0
2001-05-26,48.0,48.0,48.0,48.0,18001500,5000,4,48.0,48.0
2001-05-27,48.0,48.0,48.0,48.0,7200000,2000,1,48.0,48.0
2001-05-28,47.0,47.0,47.0,47.0,21300000,6000,3,48.0,47.0
2001-05-29,47.0,47.0,47.0,47.0,22925000,6500,11,47.0,47.0
2001-05-30,47.0,47.0,47.0,47.0,17550000,5000,3,47.0,47.0
2001-06-02,47.0,47.0,47.0,47.0,2130000,600,2,47.0,47.0
2001-06-03,48.0,48.0,48.0,48.0,2160000,600,2,47.0,48.0
2001-06-06,48.0,48.0,48.0,48.0,15480000,4300,5,48.0,48.0
2001-06-09,47.0,48.0,47.0,48.0,38916720,10820,6,48.0,48.0
2001-06-12,48.0,48.0,48.0,48.0,18000000,5000,1,48.0,48.0
2001-06-17,48.0,48.0,48.0,48.0,10800000,3000,1,48.0,48.0
2001-06-18,48.0,48.0,48.0,48.0,18000000,5000,1,48.0,48.0
2001-06-19,48.0,48.0,48.0,48.0,36000000,10000,2,48.0,48.0
2001-06-23,48.0,48.0,48.0,48.0,90150000,25000,5,48.0,48.0
2001-06-24,51.0,51.0,48.0,49.0,9824015000,2619500,3,48.0,49.0
2001-08-07,43.0,43.0,43.0,43.0,1600000,500,1,49.0,43.0
2001-08-13,45.0,45.0,45.0,45.0,3696000,1100,4,43.0,45.0
2001-08-14,45.0,45.0,45.0,45.0,11413520,3382,9,45.0,45.0
2001-08-18,45.0,45.0,45.0,45.0,4153380,1218,1,45.0,45.0
2001-08-20,46.0,46.0,46.0,46.0,3450000,1000,1,45.0,46.0
2001-08-21,47.0,47.0,47.0,47.0,26380000,7500,2,46.0,47.0
2001-08-25,48.0,48.0,48.0,48.0,3580000,1000,2,47.0,48.0
2001-08-26,48.0,48.0,48.0,48.0,2398600,670,2,48.0,48.0
2001-08-27,48.0,48.0,48.0,48.0,4115704,1149,2,48.0,48.0
2001-08-29,48.0,48.0,48.0,48.0,4297200,1200,4,48.0,48.0
2001-09-04,48.0,48.0,48.0,48.0,6463705,1805,2,48.0,48.0
2001-09-19,48.0,48.0,48.0,48.0,397158,111,3,48.0,48.0
2001-09-22,48.0,49.0,48.0,49.0,17955997,5000,6,48.0,49.0
2001-10-07,48.0,48.0,48.0,48.0,627125,173,1,49.0,48.0
2001-10-17,48.0,48.0,48.0,48.0,25015800,6910,5,48.0,48.0
2001-10-30,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-11-26,48.0,48.0,48.0,48.0,3625000,1000,2,48.0,48.0
2001-11-28,48.0,48.0,48.0,48.0,3625000,1000,2,48.0,48.0
2001-12-02,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-03,48.0,48.0,48.0,48.0,1812500,500,1,48.0,48.0
2001-12-05,48.0,48.0,48.0,48.0,725000,200,1,48.0,48.0
2001-12-09,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-10,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-11,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-12,48.0,48.0,48.0,48.0,36812892,10158,2,48.0,48.0
2001-12-15,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-17,48.0,48.0,48.0,48.0,4348117,1200,3,48.0,48.0
2001-12-18,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-19,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-22,48.0,48.0,48.0,48.0,362500,100,1,48.0,48.0
2001-12-23,48.0,48.0,48.0,48.0,6463375,1783,4,48.0,48.0
2001-12-24,48.0,48.0,48.0,48.0,1812500,500,2,48.0,48.0
2001-12-26,48.0,48.0,48.0,48.0,1812500,500,1,48.0,48.0
2001-12-30,48.0,48.0,48.0,48.0,18130000,5000,5,48.0,48.0
2001-12-31,48.0,48.0,48.0,48.0,725200,200,1,48.0,48.0
2002-01-06,48.0,48.0,48.0,48.0,7255017,2000,2,48.0,48.0
2002-01-07,48.0,48.0,48.0,48.0,7255000,2000,2,48.0,48.0
2002-01-08,48.0,48.0,48.0,48.0,7254000,2000,2,48.0,48.0
2002-01-12,48.0,48.0,48.0,48.0,3627000,1000,1,48.0,48.0
2002-01-22,48.0,48.0,48.0,48.0,7260000,2000,1,48.0,48.0
2002-01-28,48.0,48.0,48.0,48.0,1361250,375,1,48.0,48.0
2002-01-29,48.0,48.0,48.0,48.0,14960720,4120,3,48.0,48.0
2002-01-30,48.0,48.0,48.0,48.0,363100,100,1,48.0,48.0
2002-02-02,48.0,48.0,48.0,48.0,363100,100,1,48.0,48.0
2002-02-03,48.0,48.0,48.0,48.0,363100,100,1,48.0,48.0
2002-02-04,48.0,48.0,48.0,48.0,363100,100,1,48.0,48.0
2002-02-05,48.0,48.0,48.0,48.0,363100,100,1,48.0,48.0
2002-02-06,48.0,48.0,48.0,48.0,363100,100,1,48.0,48.0
2002-02-09,48.0,48.0,48.0,48.0,399410,110,3,48.0,48.0
2002-02-10,48.0,48.0,48.0,48.0,363000,100,1,48.0,48.0
2002-02-12,48.0,48.0,48.0,48.0,181500,50,1,48.0,48.0
2002-02-13,48.0,48.0,48.0,48.0,1814000,500,1,48.0,48.0
