date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-03-09,430.0,452.0,429.0,431.0,2664445722,205387,87,33.0,452.0
2016-03-12,453.0,453.0,452.0,439.0,630865104,46342,45,431.0,453.0
2016-03-14,461.0,461.0,417.0,437.0,373094073,28815,33,439.0,425.0
2016-03-15,445.0,445.0,421.0,435.0,245022046,19261,23,437.0,421.0
2016-03-16,415.0,445.0,415.0,434.0,155028437,12152,19,435.0,421.0
2016-03-26,432.0,432.0,421.0,434.0,27567900,2174,6,434.0,421.0
2016-03-27,422.0,422.0,422.0,433.0,13017500,1025,2,434.0,422.0
2016-03-28,413.0,415.0,413.0,431.0,164157830,13210,16,433.0,413.0
2016-03-29,432.0,432.0,416.0,430.0,135826100,10792,13,431.0,419.0
2016-03-30,416.0,422.0,415.0,428.0,296202216,23588,25,430.0,416.0
2016-04-02,419.0,432.0,419.0,427.0,72827498,5731,6,428.0,422.0
2016-04-03,419.0,449.0,419.0,448.0,20785512056,1540876,25,427.0,448.0
2016-04-04,468.0,468.0,431.0,448.0,236112324,17515,22,448.0,432.0
2016-04-05,439.0,452.0,439.0,447.0,254586312,19283,12,448.0,439.0
2016-04-06,432.0,432.0,432.0,447.0,20997440,1615,7,447.0,432.0
2016-04-09,447.0,447.0,447.0,447.0,2687400,200,1,447.0,447.0
2016-04-10,445.0,445.0,445.0,447.0,1340000,100,2,447.0,445.0
2016-04-11,426.0,432.0,426.0,446.0,12894256,1002,5,447.0,432.0
2016-04-12,442.0,442.0,442.0,446.0,25454286,1914,1,446.0,442.0
2016-04-13,438.0,438.0,437.0,446.0,7111465,541,4,446.0,437.0
2016-04-16,426.0,432.0,424.0,442.0,307482857,24060,15,446.0,424.0
2016-04-17,420.0,431.0,420.0,440.0,160923750,12685,19,442.0,431.0
2016-04-18,432.0,432.0,418.0,436.0,428482281,33438,23,440.0,425.0
2016-04-19,414.0,428.0,414.0,435.0,106397825,8447,20,436.0,427.0
2016-04-20,413.0,416.0,413.0,434.0,56126654,4493,7,435.0,416.0
2016-04-23,432.0,432.0,427.0,434.0,100809661,7787,4,434.0,429.0
2016-04-24,432.0,432.0,422.0,434.0,33648638,2620,6,434.0,422.0
2016-04-25,430.0,430.0,412.0,433.0,21741717,1714,12,434.0,425.0
2016-04-26,428.0,449.0,415.0,442.0,2680971543,201416,35,433.0,435.0
2016-04-27,425.0,432.0,423.0,441.0,120711470,9372,19,442.0,432.0
