date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-08-11,136.0,136.0,81.0,91.0,152986560,122560,2,62.0,81.0
2014-08-12,139.0,139.0,139.0,139.0,95000000,50000,1,91.0,139.0
2014-08-18,139.0,139.0,139.0,139.0,114239560,60120,5,139.0,139.0
2014-08-19,139.0,139.0,135.0,137.0,208477000,111000,6,139.0,135.0
2014-08-20,135.0,135.0,132.0,135.0,371664000,200900,16,137.0,135.0
2014-08-23,135.0,135.0,135.0,135.0,2849000,1540,1,135.0,135.0
2014-08-27,135.0,135.0,135.0,135.0,6401000,3460,1,135.0,135.0
2014-08-30,135.0,135.0,135.0,135.0,6086500,3290,2,135.0,135.0
2014-08-31,135.0,135.0,132.0,133.0,270204500,148690,3,135.0,132.0
2014-09-01,135.0,135.0,135.0,135.0,48100000,26000,3,133.0,135.0
2014-09-02,132.0,132.0,132.0,132.0,50400000,28000,1,135.0,132.0
2014-09-07,146.0,146.0,135.0,140.0,6600809,3441,4,132.0,135.0
2014-09-08,128.0,128.0,128.0,128.0,2030000,1160,1,140.0,128.0
2014-09-09,124.0,128.0,124.0,125.0,23720000,13840,2,128.0,128.0
2014-09-13,118.0,118.0,117.0,117.0,85137600,53160,2,125.0,117.0
2014-09-15,132.0,132.0,118.0,119.0,15119590,9261,2,117.0,118.0
2014-09-21,132.0,132.0,132.0,132.0,1983600,1102,1,119.0,132.0
2014-09-30,132.0,132.0,132.0,132.0,517672800,287596,4,132.0,132.0
2014-10-01,132.0,132.0,132.0,132.0,50400000,28000,1,132.0,132.0
2014-10-07,135.0,135.0,135.0,135.0,171550000,93000,5,132.0,135.0
2014-10-08,132.0,132.0,132.0,132.0,151200000,84000,4,135.0,132.0
2014-10-12,132.0,132.0,132.0,132.0,18100000,10000,1,132.0,132.0
2014-10-14,146.0,146.0,135.0,137.0,186633600,99900,3,132.0,139.0
2014-10-15,139.0,139.0,139.0,139.0,75960000,40000,1,137.0,139.0
2014-10-18,139.0,139.0,139.0,139.0,6650000,3500,1,139.0,139.0
2014-10-19,140.0,146.0,140.0,143.0,1065374400,546900,7,139.0,146.0
2014-10-20,156.0,161.0,147.0,159.0,934801479,431000,12,143.0,161.0
2014-10-22,157.0,157.0,157.0,157.0,10750000,5000,1,159.0,157.0
2014-10-25,159.0,159.0,154.0,154.0,330086000,157000,4,157.0,154.0
