date,open,high,low,adjClose,value,volume,count,yesterday,close
2014-03-15,141.0,141.0,141.0,141.0,29396976000,6999280,16767,34.0,141.0
2014-03-16,148.0,148.0,148.0,148.0,39729690,9009,39,141.0,148.0
2014-03-17,156.0,156.0,156.0,156.0,40429160,8732,40,148.0,156.0
2014-03-18,163.0,163.0,163.0,163.0,87084815,17915,74,156.0,163.0
2014-03-19,171.0,171.0,171.0,171.0,468986144,91886,409,163.0,171.0
2014-03-25,180.0,180.0,180.0,180.0,418629003,78117,200,171.0,180.0
2014-03-26,189.0,189.0,189.0,189.0,487346624,86624,307,180.0,189.0
2014-03-29,198.0,198.0,198.0,198.0,325965981,55183,251,189.0,198.0
2014-03-30,208.0,208.0,208.0,208.0,175442176,28288,134,198.0,208.0
2014-03-31,219.0,219.0,219.0,219.0,102642144,15762,74,208.0,219.0
2014-04-05,230.0,230.0,230.0,230.0,188270469,27537,126,219.0,230.0
2014-04-06,241.0,241.0,241.0,241.0,603052492,84014,356,230.0,241.0
2014-04-07,253.0,253.0,253.0,253.0,1298098608,172253,575,241.0,253.0
2014-04-08,266.0,266.0,266.0,266.0,1139185584,143982,389,253.0,266.0
2014-04-09,279.0,279.0,279.0,279.0,6425597412,773516,1707,266.0,279.0
2014-04-12,288.0,293.0,272.0,289.0,59831859402,6961055,15341,279.0,293.0
2014-04-13,292.0,292.0,274.0,281.0,3179795313,379824,613,289.0,274.0
2014-04-14,267.0,267.0,267.0,267.0,142090256,17864,15,281.0,267.0
2014-04-15,254.0,271.0,254.0,256.0,20896001240,2736874,2684,267.0,254.0
2014-04-16,256.0,267.0,247.0,259.0,9196850261,1193836,1093,256.0,254.0
2014-04-19,252.0,252.0,246.0,247.0,1753703711,238754,165,259.0,246.0
2014-06-18,246.0,259.0,239.0,247.0,4377733028,602790,598,247.0,242.0
2014-06-21,236.0,238.0,235.0,236.0,661693312,95635,107,247.0,235.0
2014-06-22,224.0,224.0,224.0,224.0,87789196,13354,9,236.0,224.0
2014-06-23,213.0,235.0,213.0,229.0,8719930946,1296316,930,224.0,235.0
2014-06-24,235.0,241.0,232.0,240.0,1339369203,190300,161,229.0,241.0
2014-06-25,244.0,251.0,228.0,236.0,5723534626,827409,566,240.0,228.0
2014-06-28,225.0,235.0,224.0,226.0,186183441,28065,40,236.0,224.0
2014-06-29,215.0,218.0,215.0,215.0,1841156462,292033,232,226.0,215.0
2014-06-30,204.0,217.0,204.0,205.0,4561369548,756600,310,215.0,204.0
2014-07-01,204.0,216.0,201.0,213.0,1863359378,297368,216,205.0,216.0
2014-07-02,216.0,224.0,215.0,221.0,2425814669,374140,250,213.0,221.0
