date,open,high,low,adjClose,value,volume,count,yesterday,close
2021-05-26,3736.0,3736.0,3736.0,3736.0,5331078406050,177999279,2355996,125.0,3736.0
2021-05-29,3922.0,3922.0,3922.0,3922.0,49776971280,1583237,8310,3736.0,3922.0
2021-05-30,4118.0,4118.0,4118.0,4118.0,53074270240,1607824,8768,3922.0,4118.0
2021-05-31,4324.0,4324.0,4324.0,4324.0,62184407160,1794126,11307,4118.0,4324.0
2021-06-01,4540.0,4540.0,4540.0,4540.0,82204609710,2258989,17962,4324.0,4540.0
2021-06-02,4766.0,4766.0,4766.0,4766.0,671369927800,17575129,76432,4540.0,4766.0
2021-06-07,5004.0,5004.0,4767.0,4935.0,4567619136680,115450961,582759,4766.0,4819.0
2021-06-08,4834.0,4935.0,4690.0,4773.0,1839947142750,48084723,304051,4935.0,4703.0
2021-06-09,4653.0,4766.0,4574.0,4665.0,648764487990,17352274,109602,4773.0,4672.0
2021-06-12,4665.0,4889.0,4665.0,4781.0,836836285790,21838457,54253,4665.0,4753.0
2021-06-13,4814.0,4814.0,4641.0,4695.0,331620351630,8813266,41066,4781.0,4716.0
2021-06-14,4647.0,4803.0,4647.0,4732.0,481632281300,12697761,48700,4695.0,4763.0
2021-06-15,4741.0,4918.0,4711.0,4822.0,531814717460,13760539,40570,4732.0,4747.0
2021-06-16,4722.0,4791.0,4695.0,4729.0,323369896740,8530855,51223,4822.0,4722.0
2021-06-19,4695.0,4772.0,4555.0,4636.0,319027833200,8584717,22506,4729.0,4618.0
2021-06-20,4578.0,4766.0,4559.0,4653.0,384328985120,10304938,23463,4636.0,4628.0
2021-06-21,4618.0,4885.0,4618.0,4819.0,512212650750,13259200,25767,4653.0,4885.0
2021-06-22,4989.0,5060.0,4928.0,5039.0,908329476740,22490388,21901,4819.0,5060.0
2021-06-23,5177.0,5283.0,5038.0,5151.0,605752881370,14671480,25490,5039.0,5087.0
2021-06-26,5156.0,5156.0,4973.0,5040.0,571994707210,14159998,25227,5151.0,4983.0
