date,open,high,low,adjClose,value,volume,count,yesterday,close
2007-03-11,9.0,10.0,9.0,9.0,889437216900,468077431,7736,9.0,9.0
2007-03-12,10.0,10.0,10.0,10.0,193879458000,100041000,9214,9.0,10.0
2007-03-13,10.0,10.0,9.0,10.0,249241504527,126270939,5862,10.0,10.0
2007-03-14,10.0,10.0,10.0,10.0,51666379451,26705128,1901,10.0,10.0
2007-03-17,9.0,10.0,9.0,9.0,28239006789,14877283,1514,10.0,9.0
2007-03-19,9.0,9.0,9.0,9.0,23432044982,12428574,1402,9.0,9.0
2007-03-25,9.0,10.0,9.0,9.0,7938296594,4151051,480,9.0,9.0
2007-03-26,10.0,10.0,9.0,9.0,5010080922,2604320,397,9.0,9.0
2007-03-27,9.0,10.0,9.0,9.0,3349931251,1737471,231,9.0,9.0
2007-03-28,10.0,10.0,9.0,9.0,2819018765,1466522,221,9.0,9.0
2007-03-31,9.0,10.0,9.0,9.0,1544256723,818231,209,9.0,9.0
2007-04-03,9.0,9.0,9.0,9.0,5089821352,2705358,313,9.0,9.0
2007-04-04,9.0,9.0,9.0,9.0,3083948625,1649990,220,9.0,9.0
2007-04-07,9.0,9.0,9.0,9.0,9390429030,5050280,473,9.0,9.0
2007-04-08,9.0,9.0,9.0,9.0,5626657331,3002511,433,9.0,9.0
2007-04-09,9.0,9.0,9.0,9.0,1307934968,692951,165,9.0,9.0
2007-04-10,9.0,9.0,9.0,9.0,2477218529,1315311,310,9.0,9.0
2007-04-11,9.0,9.0,9.0,9.0,3292833272,1767488,413,9.0,9.0
2007-04-14,9.0,9.0,9.0,9.0,3648614835,1975101,463,9.0,9.0
2007-04-15,9.0,9.0,9.0,9.0,5293662864,2879638,600,9.0,9.0
2007-04-16,9.0,9.0,9.0,9.0,3473179839,1890750,457,9.0,9.0
2007-04-17,9.0,9.0,9.0,9.0,2532449179,1368173,344,9.0,9.0
2007-04-18,9.0,9.0,9.0,9.0,5705405876,3024167,500,9.0,9.0
2007-04-21,9.0,9.0,9.0,9.0,10421277946,5473667,691,9.0,9.0
2007-04-22,10.0,10.0,9.0,9.0,3405672640,1773788,360,9.0,9.0
2007-04-23,10.0,10.0,9.0,9.0,1569866424,826566,237,9.0,9.0
2007-04-24,9.0,9.0,5.0,9.0,3641241626070,3831874711,264,9.0,9.0
2007-04-25,9.0,9.0,9.0,9.0,3392879779,1796465,426,9.0,9.0
2007-04-28,9.0,9.0,9.0,9.0,4038766394,2176594,467,9.0,9.0
2007-04-29,9.0,9.0,9.0,9.0,6713269926,3633565,750,9.0,9.0
2007-04-30,9.0,9.0,9.0,9.0,10593596444,5581299,838,9.0,9.0
2007-05-01,9.0,9.0,9.0,9.0,2613975235,1387680,207,9.0,9.0
2007-05-02,9.0,9.0,9.0,9.0,2830592959,1524106,354,9.0,9.0
2007-05-05,9.0,9.0,9.0,9.0,4653287427,2523017,479,9.0,9.0
2007-05-06,9.0,9.0,9.0,9.0,6994053939,3807216,626,9.0,9.0
2007-05-07,9.0,9.0,9.0,9.0,5157963190,2824699,483,9.0,9.0
2007-05-08,9.0,9.0,9.0,9.0,5933952440,3256904,394,9.0,9.0
2007-05-09,9.0,9.0,9.0,9.0,5525634547,3031843,403,9.0,9.0
2007-05-12,9.0,9.0,9.0,9.0,2489582384,1340525,303,9.0,9.0
2007-05-13,9.0,9.0,9.0,9.0,6803190106,3617528,665,9.0,9.0
2007-05-14,9.0,9.0,9.0,9.0,2843868527,1521600,322,9.0,9.0
2007-05-15,9.0,9.0,9.0,9.0,1343546511,722100,194,9.0,9.0
2007-05-16,9.0,9.0,9.0,9.0,2368141606,1270938,266,9.0,9.0
2007-05-19,9.0,9.0,9.0,9.0,2145560723,1165541,257,9.0,9.0
2007-05-20,9.0,9.0,9.0,9.0,2066324045,1125563,260,9.0,9.0
2007-05-21,9.0,9.0,9.0,9.0,1869165969,1015994,273,9.0,9.0
2007-05-22,9.0,9.0,9.0,9.0,1587771846,862753,189,9.0,9.0
2007-05-23,9.0,9.0,9.0,9.0,1017647066,555716,123,9.0,9.0
2007-05-26,9.0,9.0,9.0,9.0,1819739565,995859,258,9.0,9.0
2007-05-27,9.0,9.0,9.0,9.0,1232478002,677604,175,9.0,9.0
2007-05-28,9.0,9.0,9.0,9.0,4885670697,2681100,312,9.0,9.0
2007-05-29,9.0,9.0,9.0,9.0,3436495236,1881316,182,9.0,9.0
2007-05-30,9.0,9.0,9.0,9.0,1498893842,814969,204,9.0,9.0
2007-06-02,9.0,9.0,9.0,9.0,5903314799,3142342,628,9.0,9.0
2007-06-03,9.0,9.0,9.0,9.0,6644893791,3517679,457,9.0,9.0
2007-06-06,9.0,9.0,9.0,9.0,3200694642,1686185,384,9.0,9.0
2007-06-09,9.0,9.0,9.0,9.0,3475993043,1842850,285,9.0,9.0
2007-06-10,9.0,9.0,9.0,9.0,752248837,394471,99,9.0,9.0
2007-06-11,9.0,9.0,5.0,9.0,893785181478,940111218,178,9.0,9.0
2007-06-12,9.0,9.0,9.0,9.0,216131410,113158,39,9.0,9.0
2007-06-13,9.0,9.0,9.0,9.0,25017527620,13098182,1510,9.0,9.0
2007-06-16,10.0,10.0,10.0,10.0,29286925488,15034356,1898,9.0,10.0
2007-06-17,10.0,10.0,10.0,10.0,31093916244,15656554,2085,10.0,10.0
2007-06-19,10.0,10.0,10.0,10.0,23809248413,11863183,2574,10.0,10.0
2007-06-20,10.0,10.0,10.0,10.0,11205015358,5676578,1103,10.0,10.0
2007-06-23,10.0,10.0,10.0,10.0,20160850793,9940077,1623,10.0,10.0
2007-06-24,10.0,10.0,10.0,10.0,16194664330,7875528,1583,10.0,10.0
2007-06-25,10.0,10.0,10.0,10.0,22867336715,10909057,1818,10.0,10.0
2007-06-26,11.0,11.0,10.0,10.0,20129780241,9614186,1892,10.0,10.0
2007-06-27,10.0,10.0,10.0,10.0,10145410287,4943752,883,10.0,10.0
2007-06-30,10.0,10.0,10.0,10.0,22200446843,10566520,2214,10.0,10.0
2007-07-01,11.0,11.0,11.0,11.0,24596470666,11482272,1778,10.0,11.0
2007-07-02,11.0,11.0,11.0,11.0,32493053036,14878790,2494,11.0,11.0
2007-07-03,11.0,11.0,7.0,11.0,981070450100,571322642,1214,11.0,11.0
2007-07-04,11.0,11.0,11.0,11.0,16814821740,7638788,1526,11.0,11.0
2007-07-07,11.0,11.0,11.0,11.0,10056265516,4510681,991,11.0,11.0
2007-07-08,11.0,11.0,11.0,11.0,15160636801,6707990,1311,11.0,11.0
2007-07-09,11.0,11.0,11.0,11.0,23374166886,10145458,1090,11.0,11.0
2007-07-10,12.0,12.0,11.0,12.0,44882797405,19111410,814,11.0,12.0
2007-07-11,12.0,12.0,12.0,12.0,32801833890,13701685,701,12.0,12.0
2007-07-14,12.0,12.0,12.0,12.0,101037157516,41484855,2611,12.0,12.0
2007-07-15,12.0,12.0,12.0,12.0,2249683461,942473,121,12.0,12.0
2007-07-16,12.0,12.0,12.0,12.0,55551799076,23338850,1586,12.0,12.0
2007-07-17,12.0,12.0,12.0,12.0,41409372184,17354847,1497,12.0,12.0
2007-07-25,12.0,12.0,11.0,12.0,73538904099,30786113,2496,12.0,12.0
2007-07-29,12.0,12.0,12.0,12.0,15492784900,6362540,612,12.0,12.0
2007-07-30,12.0,12.0,12.0,12.0,15681545412,6315564,1091,12.0,12.0
2007-07-31,13.0,13.0,13.0,13.0,21752452512,8591016,1567,12.0,13.0
2007-08-01,13.0,13.0,13.0,13.0,44144709618,17097099,2606,13.0,13.0
2007-08-04,13.0,13.0,13.0,13.0,121823899879,46268455,4074,13.0,13.0
2007-08-05,13.0,13.0,13.0,13.0,53325588071,19910250,3487,13.0,13.0
2007-08-06,14.0,14.0,14.0,14.0,16522440740,6049960,575,13.0,14.0
2007-08-07,14.0,14.0,14.0,14.0,834899490,300000,61,14.0,14.0
2007-08-08,14.0,14.0,14.0,14.0,565039284,202814,47,14.0,14.0
2007-08-12,14.0,14.0,14.0,14.0,2103194232,754374,257,14.0,14.0
2007-08-13,14.0,14.0,14.0,14.0,9454918102,3384008,758,14.0,14.0
2007-08-14,14.0,14.0,14.0,14.0,1229442010,435355,100,14.0,14.0
2007-08-15,14.0,14.0,14.0,14.0,1851516562,654709,280,14.0,14.0
2007-08-18,14.0,14.0,14.0,14.0,84277058183,29760995,2983,14.0,14.0
2007-08-19,14.0,14.0,14.0,14.0,5885518656,2038628,455,14.0,14.0
2007-08-20,14.0,14.0,14.0,14.0,4439879570,1528358,605,14.0,14.0
2007-08-21,14.0,14.0,14.0,14.0,3514710100,1203668,303,14.0,14.0
2007-08-22,15.0,15.0,14.0,14.0,1081350876,368936,155,14.0,14.0
2007-08-25,15.0,15.0,14.0,14.0,1508465702,514133,182,14.0,14.0
2007-08-26,15.0,15.0,14.0,14.0,8616036748,2931622,581,14.0,14.0
2007-08-27,15.0,15.0,14.0,14.0,2810592974,947604,251,14.0,14.0
2007-08-28,15.0,15.0,15.0,15.0,10388033340,3491776,661,14.0,15.0
2007-09-01,15.0,15.0,15.0,15.0,6387814815,2124315,445,15.0,15.0
2007-09-02,15.0,15.0,15.0,15.0,416063597,137451,35,15.0,15.0
2007-09-03,15.0,15.0,15.0,15.0,1215399286,401387,106,15.0,15.0
2007-09-04,15.0,15.0,15.0,15.0,494736934,163172,57,15.0,15.0
2007-09-05,15.0,15.0,15.0,15.0,2647501264,872611,373,15.0,15.0
2007-09-08,15.0,15.0,15.0,15.0,315132368,103594,32,15.0,15.0
2007-09-09,15.0,15.0,15.0,15.0,902544111,296597,86,15.0,15.0
2007-09-10,15.0,15.0,15.0,15.0,1251408952,410837,246,15.0,15.0
2007-09-11,15.0,15.0,15.0,15.0,315890970,103571,98,15.0,15.0
2007-09-12,15.0,15.0,15.0,15.0,526989507,172727,85,15.0,15.0
2007-09-15,15.0,15.0,15.0,15.0,1387682593,454531,146,15.0,15.0
2007-09-16,15.0,15.0,15.0,15.0,1733260377,566981,234,15.0,15.0
2007-09-17,15.0,15.0,15.0,15.0,45361556697,14809519,2349,15.0,15.0
2007-09-18,15.0,15.0,15.0,15.0,15865096424,5078456,1045,15.0,15.0
2007-09-19,16.0,16.0,15.0,15.0,170855810,53830,24,15.0,15.0
2007-09-22,16.0,16.0,15.0,15.0,792282550,249538,89,15.0,15.0
2007-09-23,16.0,16.0,15.0,15.0,2541631230,800010,238,15.0,15.0
2007-09-24,16.0,16.0,15.0,15.0,1592531280,500010,201,15.0,15.0
2007-09-30,16.0,16.0,15.0,15.0,24769730,7765,4,15.0,15.0
2007-10-01,16.0,16.0,15.0,15.0,42493370,13321,13,15.0,15.0
2007-10-02,16.0,16.0,16.0,16.0,171021670,53612,37,15.0,16.0
2007-10-06,16.0,16.0,16.0,16.0,1566904879,491039,178,16.0,16.0
2007-10-07,16.0,16.0,16.0,16.0,723752776,226456,117,16.0,16.0
2007-10-08,16.0,16.0,16.0,16.0,302987504,94743,46,16.0,16.0
2007-10-09,16.0,16.0,12.0,16.0,325053942005,136089385,41,16.0,16.0
2007-10-10,16.0,16.0,16.0,16.0,1441631420,450510,173,16.0,16.0
2007-10-14,16.0,16.0,16.0,16.0,13098265772,4088098,1127,16.0,16.0
2007-10-15,16.0,16.0,16.0,16.0,13216888025,4073001,1188,16.0,16.0
2007-10-16,16.0,16.0,16.0,16.0,193478764,58862,54,16.0,16.0
2007-10-17,16.0,16.0,16.0,16.0,32952723984,10022118,3082,16.0,16.0
2007-10-20,17.0,17.0,17.0,17.0,34051736859,10155603,2916,16.0,17.0
2007-10-21,17.0,17.0,17.0,17.0,69337422000,20274100,4553,17.0,17.0
2007-10-22,17.0,17.0,17.0,17.0,96779446688,27746401,4953,17.0,17.0
2007-10-23,18.0,18.0,18.0,18.0,68603606453,19286929,3863,17.0,18.0
2007-11-03,21.0,21.0,19.0,20.0,206146111822,52229357,5208,18.0,20.0
2007-11-04,19.0,20.0,19.0,19.0,45016810108,11595337,1163,20.0,19.0
2007-11-05,19.0,19.0,19.0,19.0,244841095,64347,13,19.0,19.0
2007-11-11,19.0,19.0,19.0,19.0,1536189060,403835,37,19.0,19.0
2007-11-12,19.0,19.0,19.0,19.0,34661582130,9123870,568,19.0,19.0
2007-11-13,18.0,19.0,18.0,18.0,86535252579,23189941,2013,19.0,18.0
2007-11-14,18.0,18.0,18.0,18.0,23410691427,6401611,266,18.0,18.0
2007-11-17,18.0,18.0,18.0,18.0,7074174964,1973821,110,18.0,18.0
2007-11-18,18.0,18.0,18.0,18.0,12888940582,3618456,143,18.0,18.0
2007-11-19,17.0,17.0,17.0,17.0,23365099446,6634043,196,18.0,17.0
2007-11-20,17.0,17.0,17.0,17.0,234561737992,67946383,4722,17.0,17.0
2007-11-21,17.0,17.0,17.0,17.0,69346194088,20011097,2333,17.0,17.0
2007-11-24,17.0,17.0,17.0,17.0,21692544948,6366536,660,17.0,17.0
2007-11-25,17.0,17.0,17.0,17.0,3289907253,985297,148,17.0,17.0
2007-11-26,16.0,16.0,16.0,16.0,20943338220,6291180,242,17.0,16.0
2007-11-27,16.0,16.0,16.0,16.0,1823208376,558752,78,16.0,16.0
2007-11-28,16.0,16.0,16.0,16.0,13590826105,4172805,185,16.0,16.0
2007-12-01,16.0,16.0,16.0,16.0,5938508260,1847700,108,16.0,16.0
2007-12-02,16.0,16.0,16.0,16.0,145047260,45398,26,16.0,16.0
2007-12-03,16.0,16.0,16.0,16.0,859219190,268926,46,16.0,16.0
2007-12-04,16.0,16.0,16.0,16.0,387228544,121312,28,16.0,16.0
2007-12-05,16.0,16.0,16.0,16.0,190593654461,59414283,4076,16.0,16.0
2007-12-08,16.0,16.0,16.0,16.0,33213168190,10352089,1088,16.0,16.0
2007-12-09,16.0,16.0,16.0,16.0,11852522097,3643781,386,16.0,16.0
2007-12-10,16.0,16.0,16.0,16.0,4873786463,1478249,175,16.0,16.0
2007-12-11,16.0,16.0,16.0,16.0,70643721718,21450406,1762,16.0,16.0
2007-12-12,16.0,16.0,16.0,16.0,25977439448,8018532,618,16.0,16.0
2007-12-15,16.0,16.0,16.0,16.0,20144389766,6133987,525,16.0,16.0
2007-12-16,16.0,16.0,16.0,16.0,3186269110,985383,100,16.0,16.0
2007-12-17,16.0,16.0,16.0,16.0,86808680,27043,19,16.0,16.0
2007-12-18,16.0,16.0,16.0,16.0,161200420,50218,20,16.0,16.0
2007-12-19,16.0,16.0,16.0,16.0,94682195,29505,21,16.0,16.0
2007-12-22,16.0,16.0,16.0,16.0,66199111,20629,11,16.0,16.0
2007-12-23,16.0,16.0,16.0,16.0,27742455,8645,7,16.0,16.0
2007-12-24,16.0,16.0,16.0,16.0,68150183,21237,13,16.0,16.0
2007-12-25,16.0,16.0,16.0,16.0,206063366,64214,16,16.0,16.0
2007-12-26,16.0,16.0,16.0,16.0,38089234,11873,12,16.0,16.0
2007-12-30,16.0,16.0,16.0,16.0,342515592,106769,13,16.0,16.0
2007-12-31,16.0,16.0,16.0,16.0,54849321,17103,11,16.0,16.0
2008-01-01,16.0,16.0,16.0,16.0,56342263731,17834519,1580,16.0,16.0
2008-01-02,16.0,16.0,16.0,16.0,8373991750,2604903,296,16.0,16.0
2008-01-05,16.0,16.0,16.0,16.0,11502564200,3544704,184,16.0,16.0
2008-01-06,16.0,16.0,16.0,16.0,18925936397,5879043,797,16.0,16.0
2008-01-08,16.0,16.0,16.0,16.0,9746560701,3011602,444,16.0,16.0
2008-01-09,16.0,16.0,16.0,16.0,23348231725,7094585,357,16.0,16.0
2008-01-12,17.0,17.0,16.0,17.0,33831056967,10086053,722,16.0,17.0
2008-01-13,17.0,17.0,17.0,17.0,14444624920,4222340,334,17.0,17.0
2008-01-14,17.0,17.0,17.0,17.0,574942896,165881,36,17.0,17.0
