date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-03-25,89.0,89.0,89.0,89.0,1172016,144,1,89.0,89.0
2001-03-27,89.0,89.0,89.0,89.0,11844631,1450,5,89.0,89.0
2001-04-07,94.0,94.0,94.0,94.0,20914215,2435,3,89.0,94.0
2001-04-08,94.0,94.0,94.0,94.0,12854919,1496,4,94.0,94.0
2001-04-10,94.0,94.0,94.0,94.0,4424880,515,4,94.0,94.0
2001-04-11,94.0,94.0,94.0,94.0,42178800,4911,9,94.0,94.0
2001-04-14,94.0,94.0,90.0,90.0,16935727,2001,4,94.0,90.0
2001-04-15,90.0,90.0,90.0,90.0,2714200,331,2,90.0,90.0
2001-04-16,90.0,90.0,90.0,90.0,43963275,5353,11,90.0,90.0
2001-04-17,90.0,90.0,90.0,90.0,27177797,3308,14,90.0,90.0
2001-04-18,90.0,91.0,90.0,91.0,21030466,2534,5,90.0,91.0
2001-04-21,91.0,91.0,91.0,91.0,55113300,6618,8,91.0,91.0
2001-04-22,92.0,92.0,91.0,91.0,24442549,2917,13,91.0,91.0
2001-04-23,91.0,91.0,91.0,91.0,60153708,7232,9,91.0,91.0
2001-04-24,91.0,91.0,91.0,91.0,42483677,5113,10,91.0,91.0
2001-04-25,90.0,90.0,90.0,90.0,68569870,8314,13,91.0,90.0
2001-04-28,90.0,90.0,90.0,90.0,17604100,2140,9,90.0,90.0
2001-04-29,90.0,90.0,90.0,90.0,20276776,2458,10,90.0,90.0
2001-04-30,90.0,90.0,90.0,90.0,26028270,3155,11,90.0,90.0
2001-05-01,90.0,90.0,90.0,90.0,13503471,1639,4,90.0,90.0
2001-05-02,90.0,90.0,90.0,90.0,94729152,11524,30,90.0,90.0
2001-05-05,90.0,92.0,90.0,92.0,43535156,5229,10,90.0,92.0
2001-05-06,92.0,93.0,92.0,93.0,9473698,1120,5,92.0,93.0
2001-05-07,94.0,95.0,94.0,95.0,25538690,2967,10,93.0,95.0
2001-05-08,95.0,96.0,95.0,96.0,24606870,2828,14,95.0,96.0
2001-05-09,96.0,96.0,96.0,96.0,23537300,2680,5,96.0,96.0
2001-05-13,99.0,100.0,99.0,99.0,16949977,1869,5,96.0,99.0
2001-05-15,100.0,100.0,100.0,100.0,4831200,528,1,99.0,100.0
2001-05-26,104.0,110.0,104.0,110.0,41562734,4289,11,100.0,110.0
2001-05-27,111.0,115.0,111.0,115.0,84371738,8065,20,110.0,115.0
2001-05-28,121.0,121.0,121.0,121.0,354957461,32033,29,115.0,121.0
2001-05-29,115.0,127.0,115.0,121.0,209102287,19256,32,121.0,121.0
2001-05-30,120.0,123.0,120.0,123.0,558303145,49975,40,121.0,123.0
