date,open,high,low,adjClose,value,volume,count,yesterday,close
2001-05-13,6.0,6.0,6.0,6.0,50000000,50000,23,6.0,6.0
2001-05-16,6.0,6.0,6.0,6.0,1048000,1048,1,6.0,6.0
2001-05-21,6.0,6.0,6.0,6.0,36885000,36885,21,6.0,6.0
2001-05-23,6.0,6.0,6.0,6.0,10000000,10000,1,6.0,6.0
2001-05-27,6.0,6.0,6.0,6.0,30000000,30000,10,6.0,6.0
2001-05-28,6.0,6.0,6.0,6.0,154000,154,1,6.0,6.0
2001-06-12,6.0,6.0,6.0,6.0,882000,882,3,6.0,6.0
2001-07-03,6.0,6.0,6.0,6.0,1100000,1100,4,6.0,6.0
2001-07-08,6.0,6.0,6.0,6.0,499000000,499000,165,6.0,6.0
2001-07-09,6.0,6.0,6.0,6.0,498000000,498000,198,6.0,6.0
2001-07-10,6.0,6.0,6.0,6.0,980000,980,1,6.0,6.0
2001-07-11,6.0,6.0,6.0,6.0,910735000,910735,256,6.0,6.0
2001-07-14,6.0,6.0,6.0,6.0,209100000,209100,12,6.0,6.0
2001-09-02,6.0,6.0,6.0,6.0,1000000,1000,1,6.0,6.0
2001-09-22,6.0,6.0,6.0,6.0,15000,15,1,6.0,6.0
2001-09-24,6.0,6.0,6.0,6.0,240850000,240850,124,6.0,6.0
2001-09-29,6.0,6.0,6.0,6.0,37623000,37623,22,6.0,6.0
2001-10-03,6.0,6.0,6.0,6.0,50000,50,1,6.0,6.0
2001-10-07,6.0,6.0,6.0,6.0,324730000,324730,10,6.0,6.0
2001-10-09,6.0,6.0,6.0,6.0,2000000,2000,2,6.0,6.0
2001-10-14,6.0,6.0,6.0,6.0,15400000,15400,17,6.0,6.0
2001-10-16,6.0,6.0,6.0,6.0,6680000,6680,2,6.0,6.0
2001-10-17,6.0,6.0,6.0,6.0,4000000,4000,2,6.0,6.0
2001-10-22,6.0,6.0,6.0,6.0,41010000,41010,13,6.0,6.0
2001-10-23,6.0,6.0,6.0,6.0,11182000,11182,9,6.0,6.0
2001-10-24,6.0,6.0,6.0,6.0,7170505,7170,6,6.0,6.0
2001-10-27,6.0,6.0,6.0,6.0,16253000,16253,5,6.0,6.0
2001-10-28,6.0,6.0,6.0,6.0,15750000,15750,15,6.0,6.0
2001-10-29,6.0,6.0,6.0,6.0,9009000,9009,12,6.0,6.0
2001-10-30,6.0,6.0,6.0,6.0,3000000,3000,2,6.0,6.0
2001-11-11,6.0,6.0,6.0,6.0,15000000,15000,11,6.0,6.0
2001-11-12,6.0,6.0,6.0,6.0,25000000,25000,14,6.0,6.0
2001-11-13,6.0,6.0,6.0,6.0,15000000,15000,11,6.0,6.0
2001-11-18,6.0,6.0,6.0,6.0,15000000,15000,10,6.0,6.0
2001-11-19,6.0,6.0,6.0,6.0,15000000,15000,8,6.0,6.0
2001-11-20,6.0,6.0,6.0,6.0,16170000,16170,14,6.0,6.0
2001-11-21,6.0,6.0,6.0,6.0,16588000,16588,16,6.0,6.0
2001-11-24,6.0,6.0,6.0,6.0,5000000,5000,3,6.0,6.0
2001-11-27,6.0,6.0,6.0,6.0,15000000,15000,9,6.0,6.0
2001-11-28,6.0,6.0,6.0,6.0,15000000,15000,12,6.0,6.0
2001-12-01,6.0,6.0,6.0,6.0,15000000,15000,13,6.0,6.0
2001-12-02,6.0,6.0,6.0,6.0,15000000,15000,14,6.0,6.0
2001-12-03,6.0,6.0,6.0,6.0,500000,500,1,6.0,6.0
2001-12-04,6.0,6.0,6.0,6.0,15000000,15000,12,6.0,6.0
2001-12-05,6.0,6.0,6.0,6.0,15000000,15000,13,6.0,6.0
2001-12-08,6.0,6.0,6.0,6.0,15000000,15000,12,6.0,6.0
2001-12-09,6.0,6.0,6.0,6.0,15000000,15000,12,6.0,6.0
2001-12-11,6.0,6.0,6.0,6.0,60000000,60000,51,6.0,6.0
2001-12-12,6.0,6.0,6.0,6.0,23037000,23037,19,6.0,6.0
2001-12-17,6.0,6.0,6.0,6.0,17000000,17000,3,6.0,6.0
2001-12-18,6.0,6.0,6.0,6.0,15000000,15000,2,6.0,6.0
2001-12-19,6.0,6.0,6.0,6.0,130000000,130000,24,6.0,6.0
2001-12-22,6.0,6.0,6.0,6.0,18350000,18350,5,6.0,6.0
2001-12-23,6.0,6.0,6.0,6.0,15000000,15000,3,6.0,6.0
2001-12-25,6.0,6.0,6.0,6.0,115000000,115000,88,6.0,6.0
2001-12-26,6.0,6.0,6.0,6.0,280621000,280591,164,6.0,6.0
2001-12-29,6.0,6.0,6.0,6.0,509202238,485454,73,6.0,6.0
2001-12-30,6.0,6.0,6.0,6.0,196214816,184516,60,6.0,6.0
2001-12-31,6.0,6.0,6.0,6.0,996606338,901134,139,6.0,6.0
2002-01-01,6.0,6.0,6.0,6.0,115278336,100068,24,6.0,6.0
2002-01-02,7.0,7.0,7.0,7.0,126584718,104702,23,6.0,7.0
2002-01-05,7.0,7.0,7.0,7.0,1835032374,1446046,232,7.0,7.0
