date,open,high,low,adjClose,value,volume,count,yesterday,close
2004-08-29,13.0,13.0,13.0,13.0,18841605000,1570000,2708,13.0,13.0
2004-09-04,13.0,13.0,13.0,13.0,12600000000,1000000,849,13.0,13.0
2004-09-05,14.0,14.0,8.0,14.0,34449329770,2708823,3887,13.0,14.0
2004-09-07,15.0,15.0,15.0,15.0,41395180000,2980000,996,14.0,15.0
2004-09-08,15.0,15.0,15.0,15.0,20305659965,1392229,409,15.0,15.0
2004-09-12,16.0,16.0,16.0,16.0,9088859000,593500,235,15.0,16.0
2004-09-15,17.0,17.0,16.0,16.0,851569498,52962,52,16.0,16.0
2004-09-18,16.0,16.0,16.0,16.0,1541895078,105191,99,16.0,16.0
2004-09-19,15.0,16.0,15.0,16.0,71263945,4935,11,16.0,16.0
2004-09-20,15.0,16.0,15.0,16.0,2683827990,186015,50,16.0,16.0
2004-09-21,15.0,15.0,15.0,15.0,2939030168,209243,61,16.0,15.0
2004-09-22,15.0,15.0,14.0,15.0,11827222437,858755,1002,15.0,15.0
2004-09-25,15.0,15.0,14.0,15.0,2013211923,147584,171,15.0,15.0
2004-09-26,14.0,15.0,14.0,14.0,3794393838,285239,234,15.0,14.0
2004-09-27,14.0,14.0,14.0,14.0,2521796394,188904,161,14.0,14.0
2004-09-28,14.0,14.0,14.0,14.0,65013467888,4999023,136,14.0,14.0
2004-09-29,14.0,14.0,14.0,14.0,1159589235,88103,90,14.0,14.0
2004-10-02,13.0,14.0,13.0,14.0,555300747,43703,41,14.0,14.0
2004-10-03,13.0,14.0,13.0,14.0,3387339682,268317,194,14.0,14.0
2004-10-04,13.0,13.0,13.0,13.0,2042565401,163128,131,14.0,13.0
2004-10-05,13.0,13.0,13.0,13.0,1455441426,119388,95,13.0,13.0
2004-10-06,13.0,13.0,13.0,13.0,720830021,59341,41,13.0,13.0
2004-10-09,13.0,13.0,13.0,13.0,842492892,70234,49,13.0,13.0
2004-10-10,13.0,13.0,12.0,13.0,1130152513,94323,45,13.0,13.0
2004-10-11,13.0,13.0,12.0,13.0,1763039587,148782,72,13.0,13.0
2004-10-12,12.0,13.0,12.0,13.0,358419314,30987,31,13.0,13.0
2004-10-13,13.0,13.0,12.0,13.0,921364087,79430,47,13.0,13.0
2004-10-16,12.0,12.0,12.0,12.0,2580737169,227270,87,13.0,12.0
2004-10-17,12.0,12.0,12.0,12.0,874451580,79625,74,12.0,12.0
2004-10-18,12.0,12.0,12.0,12.0,1090863680,100374,74,12.0,12.0
2004-10-19,11.0,12.0,11.0,12.0,5465170,510,2,12.0,12.0
2004-10-20,11.0,12.0,11.0,12.0,5068622,473,2,12.0,12.0
2004-10-23,11.0,12.0,11.0,12.0,851622737,79560,75,12.0,12.0
2004-10-24,12.0,12.0,11.0,12.0,715514564,67572,45,12.0,12.0
2004-10-25,12.0,12.0,11.0,12.0,438823281,41000,37,12.0,12.0
2004-10-26,11.0,12.0,11.0,12.0,1088194935,101441,61,12.0,12.0
2004-10-27,11.0,12.0,11.0,12.0,511922762,49045,29,12.0,12.0
2004-10-30,11.0,12.0,11.0,12.0,227360118,21589,32,12.0,12.0
2004-10-31,11.0,12.0,11.0,11.0,190108930,18078,26,12.0,11.0
2004-11-01,11.0,11.0,11.0,11.0,230111270,22110,18,11.0,11.0
